,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,94.0,0,0.0001878959999999097,"[0, 4, 2, 1, 0, 1, 1, 0, 1, 4]",10,100000,0
1,100000,195.0,34,0.010105496000001324,"[4, 4, 4, 4, 4, 2, 1, 1, 1, 4]",10,100000,0
2,0,0.0,34,0.01492533200000068,"[3, 4, 1, 2, 4, 3, 4, 4, 4, 3]",10,100000,1
3,100000,170.0,46,0.020463856000002778,"[3, 4, 1, 2, 0, 3, 4, 4, 4, 3]",10,100000,1
4,0,96.0,46,0.02721862499999972,"[2, 0, 3, 2, 2, 0, 1, 0, 2, 2]",10,100000,2
5,100000,168.0,74,0.0345597770000019,"[2, 3, 4, 3, 2, 0, 4, 4, 2, 3]",10,100000,2
6,0,153.0,74,0.03925884400000257,"[0, 2, 2, 0, 4, 3, 4, 0, 4, 3]",10,100000,3
7,100000,220.0,128,0.049370557000003146,"[0, 2, 4, 4, 4, 4, 4, 2, 4, 3]",10,100000,3
8,0,74.0,128,0.05415579699999995,"[0, 4, 0, 3, 2, 0, 0, 1, 1, 0]",10,100000,4
9,100000,201.0,162,0.06236367300000012,"[0, 4, 4, 3, 2, 4, 3, 4, 1, 4]",10,100000,4
10,0,135.0,162,0.0675401579999999,"[0, 2, 4, 0, 4, 3, 3, 0, 0, 3]",10,100000,5
11,100000,212.0,196,0.07613077800000312,"[4, 2, 4, 4, 4, 4, 3, 4, 0, 3]",10,100000,5
12,0,105.0,196,0.08126642300000242,"[1, 2, 0, 3, 0, 2, 4, 3, 2, 1]",10,100000,6
13,100000,188.0,234,0.09046944099999976,"[1, 4, 2, 3, 2, 2, 4, 4, 4, 3]",10,100000,6
14,0,143.0,234,0.09568493600000139,"[3, 2, 1, 4, 4, 4, 0, 0, 2, 0]",10,100000,7
15,100000,211.0,287,0.10789844000000315,"[4, 4, 2, 4, 4, 4, 0, 1, 3, 4]",10,100000,7
16,0,154.0,287,0.11357136600000217,"[1, 4, 1, 2, 2, 3, 1, 2, 2, 4]",10,100000,8
17,100000,198.0,312,0.12206855400000194,"[2, 4, 3, 3, 2, 4, 2, 3, 2, 4]",10,100000,8
18,0,61.0,312,0.12790844400000267,"[2, 0, 2, 3, 0, 0, 1, 0, 0, 2]",10,100000,9
19,100000,194.0,364,0.1425305899999998,"[2, 4, 2, 3, 3, 4, 3, 2, 4, 2]",10,100000,9
20,0,151.0,364,0.1490246190000022,"[4, 1, 2, 3, 4, 1, 0, 4, 1, 2]",10,100000,10
21,100000,213.0,399,0.16263779600000206,"[4, 4, 4, 3, 4, 4, 2, 4, 1, 2]",10,100000,10
22,0,94.0,0,0.00013031099999949447,"[0, 4, 2, 1, 0, 1, 1, 0, 1, 4]",30,100000,0
23,100000,195.0,34,0.009553115999999306,"[4, 4, 4, 4, 4, 2, 1, 1, 1, 4]",30,100000,0
24,0,0.0,34,0.016214837999999787,"[3, 4, 1, 2, 4, 3, 4, 4, 4, 3]",30,100000,1
25,100000,170.0,46,0.023246915000001422,"[3, 4, 1, 2, 0, 3, 4, 4, 4, 3]",30,100000,1
26,0,96.0,46,0.029733568000001043,"[2, 0, 3, 2, 2, 0, 1, 0, 2, 2]",30,100000,2
27,100000,168.0,74,0.03767500200000029,"[2, 3, 4, 3, 2, 0, 4, 4, 2, 3]",30,100000,2
28,0,153.0,74,0.04445008200000089,"[0, 2, 2, 0, 4, 3, 4, 0, 4, 3]",30,100000,3
29,100000,220.0,128,0.05557246100000057,"[0, 2, 4, 4, 4, 4, 4, 2, 4, 3]",30,100000,3
30,0,74.0,128,0.06291424899999853,"[0, 4, 0, 3, 2, 0, 0, 1, 1, 0]",30,100000,4
31,100000,201.0,162,0.07305730999999938,"[0, 4, 4, 3, 2, 4, 3, 4, 1, 4]",30,100000,4
32,0,135.0,162,0.08046149899999833,"[0, 2, 4, 0, 4, 3, 3, 0, 0, 3]",30,100000,5
33,100000,212.0,196,0.09118608200000011,"[4, 2, 4, 4, 4, 4, 3, 4, 0, 3]",30,100000,5
34,0,105.0,196,0.09904332800000049,"[1, 2, 0, 3, 0, 2, 4, 3, 2, 1]",30,100000,6
35,100000,188.0,234,0.11137352900000153,"[1, 4, 2, 3, 2, 2, 4, 4, 4, 3]",30,100000,6
36,0,143.0,234,0.119017877000001,"[3, 2, 1, 4, 4, 4, 0, 0, 2, 0]",30,100000,7
37,100000,211.0,287,0.13501381100000032,"[4, 4, 2, 4, 4, 4, 0, 1, 3, 4]",30,100000,7
38,0,154.0,287,0.14319695800000076,"[1, 4, 1, 2, 2, 3, 1, 2, 2, 4]",30,100000,8
39,100000,198.0,312,0.15482328099999876,"[2, 4, 3, 3, 2, 4, 2, 3, 2, 4]",30,100000,8
40,0,61.0,312,0.163361308999999,"[2, 0, 2, 3, 0, 0, 1, 0, 0, 2]",30,100000,9
41,100000,194.0,364,0.1811997930000011,"[2, 4, 2, 3, 3, 4, 3, 2, 4, 2]",30,100000,9
42,0,151.0,364,0.18976026200000007,"[4, 1, 2, 3, 4, 1, 0, 4, 1, 2]",30,100000,10
43,100000,213.0,399,0.20548241899999908,"[4, 4, 4, 3, 4, 4, 2, 4, 1, 2]",30,100000,10
44,0,155.0,399,0.21426592899999974,"[3, 0, 2, 3, 3, 3, 1, 3, 2, 2]",30,100000,11
45,100000,201.0,430,0.2281818350000009,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 3]",30,100000,11
46,0,62.0,430,0.23687366900000129,"[4, 0, 0, 2, 3, 1, 0, 0, 0, 0]",30,100000,12
47,100000,194.0,471,0.25354262000000105,"[4, 4, 0, 2, 4, 4, 4, 4, 3, 2]",30,100000,12
48,0,104.0,471,0.2625879419999997,"[4, 3, 3, 0, 0, 1, 4, 4, 1, 0]",30,100000,13
49,100000,201.0,501,0.27732904299999817,"[4, 3, 3, 4, 3, 3, 4, 4, 3, 1]",30,100000,13
50,0,133.0,501,0.28610023499999926,"[3, 3, 3, 1, 2, 0, 0, 4, 2, 2]",30,100000,14
51,100000,209.0,553,0.3072276229999993,"[3, 4, 3, 3, 4, 3, 2, 4, 3, 2]",30,100000,14
52,0,153.0,553,0.3163141249999981,"[3, 4, 0, 4, 3, 1, 3, 2, 1, 4]",30,100000,15
53,100000,210.0,578,0.3313275390000001,"[3, 4, 0, 4, 3, 4, 3, 4, 3, 4]",30,100000,15
54,0,111.0,578,0.34017210800000086,"[0, 0, 2, 3, 2, 0, 4, 0, 3, 3]",30,100000,16
55,100000,215.0,619,0.3582815530000012,"[3, 1, 3, 3, 4, 4, 4, 4, 3, 3]",30,100000,16
56,0,197.0,619,0.36715779700000084,"[2, 4, 1, 3, 3, 3, 2, 4, 3, 4]",30,100000,17
57,100000,207.0,640,0.3822205469999993,"[3, 4, 1, 4, 3, 3, 2, 4, 3, 4]",30,100000,17
58,0,150.0,640,0.3933435369999998,"[1, 4, 0, 0, 3, 4, 4, 0, 4, 3]",30,100000,18
59,100000,203.0,674,0.4132906900000002,"[2, 4, 0, 3, 3, 4, 4, 3, 4, 4]",30,100000,18
60,0,83.0,674,0.42351349200000143,"[4, 0, 2, 2, 1, 2, 0, 2, 0, 0]",30,100000,19
61,100000,208.0,731,0.45120986599999924,"[4, 4, 3, 4, 4, 4, 3, 2, 4, 0]",30,100000,19
62,0,104.0,731,0.4617780109999998,"[2, 3, 2, 1, 3, 0, 1, 1, 1, 2]",30,100000,20
63,100000,201.0,784,0.4876320889999981,"[4, 4, 4, 4, 3, 4, 4, 2, 1, 2]",30,100000,20
64,0,143.0,784,0.49766800800000155,"[4, 2, 0, 3, 1, 4, 4, 1, 1, 4]",30,100000,21
